,Date,Airline,Number of Delays,Total Flights,Percent Delayed
381,2018-01-22,B6,142.0,830.0,0.1710843373493976
382,2018-01-22,DL,278.0,2552.0,0.10893416927899686
383,2018-01-22,EV,83.0,696.0,0.11925287356321838
384,2018-01-22,F9,38.0,316.0,0.12025316455696203
385,2018-01-22,G4,50.0,306.0,0.16339869281045752
386,2018-01-22,HA,6.0,212.0,0.02830188679245283
387,2018-01-22,MQ,118.0,771.0,0.15304798962386512
388,2018-01-22,NK,31.0,461.0,0.06724511930585683
389,2018-01-22,OH,58.0,697.0,0.08321377331420372
390,2018-01-22,OO,420.0,2141.0,0.19617001401214385
391,2018-01-22,UA,141.0,1484.0,0.09501347708894879
392,2018-01-22,VX,15.0,191.0,0.07853403141361257
393,2018-01-22,WN,482.0,3643.0,0.1323085369201208
394,2018-01-22,YV,59.0,547.0,0.10786106032906764
395,2018-01-22,YX,85.0,865.0,0.09826589595375723
396,2018-01-23,9E,178.0,642.0,0.2772585669781931
397,2018-01-23,AA,174.0,2247.0,0.0774365821094793
398,2018-01-23,AS,37.0,493.0,0.07505070993914807
399,2018-01-23,B6,148.0,795.0,0.1861635220125786
400,2018-01-23,DL,236.0,2367.0,0.09970426700464723
401,2018-01-23,EV,216.0,680.0,0.3176470588235294
402,2018-01-23,F9,43.0,308.0,0.1396103896103896
403,2018-01-23,G4,3.0,48.0,0.0625
404,2018-01-23,HA,4.0,210.0,0.01904761904761905
405,2018-01-23,MQ,135.0,720.0,0.1875
406,2018-01-23,NK,50.0,452.0,0.11061946902654868
407,2018-01-23,OH,134.0,696.0,0.1925287356321839
408,2018-01-23,OO,400.0,2060.0,0.1941747572815534
409,2018-01-23,UA,168.0,1416.0,0.11864406779661017
410,2018-01-23,VX,11.0,187.0,0.058823529411764705
411,2018-01-23,WN,404.0,3640.0,0.11098901098901098
412,2018-01-23,YV,41.0,481.0,0.08523908523908524
413,2018-01-23,YX,193.0,840.0,0.22976190476190475
414,2018-01-24,9E,49.0,642.0,0.0763239875389408
415,2018-01-24,AA,211.0,2416.0,0.08733443708609272
416,2018-01-24,AS,36.0,498.0,0.07228915662650602
417,2018-01-24,B6,95.0,799.0,0.11889862327909888
418,2018-01-24,DL,132.0,2424.0,0.054455445544554455
419,2018-01-24,EV,82.0,692.0,0.11849710982658959
420,2018-01-24,F9,35.0,312.0,0.11217948717948718
421,2018-01-24,G4,14.0,124.0,0.11290322580645161
422,2018-01-24,HA,16.0,212.0,0.07547169811320754
423,2018-01-24,MQ,119.0,741.0,0.16059379217273953
424,2018-01-24,NK,35.0,454.0,0.07709251101321586
425,2018-01-24,OH,153.0,764.0,0.20026178010471204
426,2018-01-24,OO,417.0,2095.0,0.19904534606205251
427,2018-01-24,UA,166.0,1433.0,0.11584089323098395
428,2018-01-24,VX,46.0,189.0,0.24338624338624337
429,2018-01-24,WN,374.0,3640.0,0.10274725274725274
430,2018-01-24,YV,26.0,521.0,0.04990403071017274
431,2018-01-24,YX,73.0,862.0,0.08468677494199536
432,2018-01-25,9E,46.0,680.0,0.06764705882352941
433,2018-01-25,AA,180.0,2487.0,0.07237635705669482
434,2018-01-25,AS,24.0,505.0,0.047524752475247525
435,2018-01-25,B6,109.0,832.0,0.1310096153846154
436,2018-01-25,DL,132.0,2562.0,0.05152224824355972
437,2018-01-25,EV,55.0,692.0,0.07947976878612717
438,2018-01-25,F9,28.0,316.0,0.08860759493670886
439,2018-01-25,G4,52.0,278.0,0.18705035971223022
440,2018-01-25,HA,16.0,210.0,0.0761904761904762
441,2018-01-25,MQ,64.0,770.0,0.08311688311688312
442,2018-01-25,NK,12.0,458.0,0.026200873362445413
443,2018-01-25,OH,138.0,765.0,0.1803921568627451
444,2018-01-25,OO,352.0,2142.0,0.16433239962651727
445,2018-01-25,UA,72.0,1479.0,0.0486815415821501
446,2018-01-25,VX,11.0,198.0,0.05555555555555555
447,2018-01-25,WN,375.0,3640.0,0.10302197802197802
448,2018-01-25,YV,47.0,544.0,0.08639705882352941
449,2018-01-25,YX,55.0,871.0,0.06314580941446613
450,2018-01-26,9E,17.0,681.0,0.024963289280469897
451,2018-01-26,AA,174.0,2507.0,0.06940566414040686
452,2018-01-26,AS,26.0,505.0,0.05148514851485148
453,2018-01-26,B6,98.0,835.0,0.11736526946107785
454,2018-01-26,DL,132.0,2569.0,0.051381860646165824
455,2018-01-26,EV,56.0,697.0,0.08034433285509325
456,2018-01-26,F9,48.0,316.0,0.1518987341772152
457,2018-01-26,G4,19.0,312.0,0.060897435897435896
458,2018-01-26,HA,16.0,226.0,0.07079646017699115
459,2018-01-26,MQ,49.0,772.0,0.06347150259067358
460,2018-01-26,NK,21.0,460.0,0.04565217391304348
461,2018-01-26,OH,83.0,765.0,0.1084967320261438
462,2018-01-26,OO,230.0,2139.0,0.10752688172043011
463,2018-01-26,UA,72.0,1488.0,0.04838709677419355
464,2018-01-26,VX,12.0,197.0,0.06091370558375635
465,2018-01-26,WN,398.0,3649.0,0.10907097835023294
466,2018-01-26,YV,30.0,547.0,0.054844606946983544
