,year,num_parts,log_parts
2766,1976,300,8.228818690495881
2767,1982,3,1.584962500721156
2768,1982,3,1.584962500721156
2769,1982,3,1.584962500721156
2770,1982,3,1.584962500721156
2771,1982,3,1.584962500721156
2772,1982,4,2.0
2773,1983,3,1.584962500721156
2774,1983,3,1.584962500721156
2775,1971,47,5.554588851677638
2776,1984,5,2.321928094887362
2777,1967,314,8.294620748891626
2778,1984,5,2.321928094887362
2779,1977,115,6.845490050944375
2780,1984,8,3.0
2781,1985,7,2.807354922057604
2782,1985,20,4.321928094887363
2783,1985,9,3.169925001442312
2784,1985,10,3.321928094887362
2785,1986,5,2.321928094887362
2786,1987,5,2.321928094887362
2787,1977,248,7.954196310386875
2788,1988,11,3.4594316186372973
2789,1971,53,5.727920454563199
2790,1998,164,7.357552004618084
2791,2000,1849,10.852529509404196
2792,2001,1538,10.586839787961827
2793,2003,100,6.643856189774724
2794,2003,100,6.643856189774724
2795,2000,100,6.643856189774724
2796,2000,50,5.643856189774724
2797,2000,50,5.643856189774724
2798,1977,459,8.842350343413807
2799,2000,87,6.442943495848728
2800,1971,65,6.022367813028454
2801,2000,24,4.584962500721156
2802,2000,20,4.321928094887363
2803,2000,20,4.321928094887363
2804,2000,20,4.321928094887363
2805,2000,20,4.321928094887363
2806,2000,15,3.9068905956085187
2807,2000,10,3.321928094887362
2808,2002,629,9.296916206879288
2809,2001,66,6.044394119358453
2810,1978,334,8.383704292474052
2811,2001,91,6.507794640198696
2812,1971,73,6.189824558880018
2813,2001,41,5.357552004618084
2814,2001,106,6.727920454563199
2815,2001,106,6.727920454563199
2816,2001,106,6.727920454563199
2817,2001,106,6.727920454563199
2818,2001,106,6.727920454563199
2819,2001,4,2.0
2820,2001,48,5.584962500721156
2821,2003,100,6.643856189774724
2822,1978,776,9.599912842187127
2823,2002,50,5.643856189774724
2824,1971,127,6.9886846867721655
2825,2003,100,6.643856189774724
2826,2003,50,5.643856189774724
2827,2003,50,5.643856189774724
2828,2003,25,4.643856189774724
2829,1998,600,9.228818690495881
2830,1998,1200,10.228818690495881
2831,1998,417,8.703903573444663
2832,1971,91,6.507794640198696
2833,1998,842,9.717676423066395
2834,1978,244,7.930737337562887
2835,1978,190,7.569855608330948
2836,1971,90,6.491853096329675
2837,2005,26,4.700439718141092
2838,2005,2,1.0
2839,1972,36,5.169925001442312
2840,1982,5,2.321928094887362
2841,1982,5,2.321928094887362
2842,1982,5,2.321928094887362
2843,1982,7,2.807354922057604
2844,1983,13,3.700439718141092
2845,1983,15,3.9068905956085187
2846,1984,7,2.807354922057604
2847,1979,177,7.467605550082998
2848,1984,7,2.807354922057604
2849,1972,93,6.539158811108031
2850,1985,16,4.0
2851,1985,11,3.4594316186372973
2852,1985,16,4.0
2853,1985,26,4.700439718141092
2854,1986,31,4.954196310386875
2855,1987,9,3.169925001442312
2856,1988,25,4.643856189774724
2857,1971,65,6.022367813028454
2858,2001,322,8.330916878114618
2859,1971,7,2.807354922057604
2860,2000,45,5.491853096329675
2861,1999,69,6.108524456778169
2862,2001,720,9.491853096329674
2863,2002,1,0.0
2864,2002,286,8.159871336778389
2865,2002,203,7.6653359171851765
2866,2002,236,7.882643049361842
2867,2002,262,8.03342300153745
2868,1973,86,6.426264754702098
2869,1979,372,8.539158811108031
2870,2011,95,6.569855608330948
2871,2011,168,7.392317422778761
2872,2012,242,7.918863237274595
2873,2012,469,8.873444112515376
2874,1973,91,6.507794640198696
2875,2006,297,8.214319120800766
2876,2006,445,8.79766152585376
2877,2006,576,9.169925001442312
2878,2006,400,8.643856189774725
2879,2006,724,9.499845887083206
2880,2008,209,7.7073591320808825
2881,1973,102,6.672425341971495
2882,2008,276,8.108524456778168
2883,1979,210,7.714245517666122
2884,2008,235,7.876516946564999
2885,2009,208,7.700439718141092
2886,2009,423,8.72451385311995
2887,2009,119,6.894817763307944
2888,2009,109,6.768184324776926
2889,2009,142,7.149747119504682
2890,2009,136,7.087462841250339
2891,2009,167,7.383704292474052
2892,2009,278,8.118941072723507
2893,1973,110,6.78135971352466
2894,2009,223,7.800899899920305
2895,2009,277,8.113742166049189
2896,2009,231,7.851749041416057
2897,2009,341,8.413627929024173
2898,2010,118,6.882643049361842
2899,2010,88,6.459431618637297
2900,2010,95,6.569855608330948
2901,2010,122,6.930737337562887
2902,2010,204,7.672425341971495
2903,2017,50,5.643856189774724
2904,2010,185,7.531381460516312
2905,1976,58,5.857980995127572
2906,2010,280,8.129283016944967
2907,1990,450,8.813781191217037
2908,2011,80,6.321928094887363
2909,2011,49,5.614709844115208
2910,2011,107,6.741466986401147
2911,2011,99,6.6293566200796095
2912,2011,247,7.948367231584678
2913,2011,101,6.658211482751795
2914,2011,231,7.851749041416057
2915,2011,223,7.800899899920305
2916,2011,312,8.285402218862249
2917,1976,142,7.149747119504682
2918,2011,216,7.754887502163468
2919,2010,332,8.375039431346925
2920,2012,115,6.845490050944375
2921,2012,165,7.366322214245816
2922,2012,246,7.94251450533924
2923,2012,305,8.252665432450248
2924,2007,29,4.857980995127572
2925,1976,159,7.312882955284356
2926,2007,21,4.392317422778761
2927,2007,29,4.857980995127572
2928,2012,245,7.936637939002571
2929,2007,22,4.459431618637297
2930,2007,22,4.459431618637297
2931,2007,1,0.0
2932,2007,19,4.247927513443585
2933,2007,19,4.247927513443585
2934,2007,1,0.0
2935,1998,182,7.507794640198696
2936,2000,20,4.321928094887363
2937,1986,24,4.584962500721156
2938,1975,199,7.636624620543649
2939,1977,1,0.0
