,Month,Airport,Number of Delays,Total Flights,Percent Delayed,Airport Name,Category
516,2,LCK,12.0,65.0,0.18461538461538463,"Columbus, OH: Rickenbacker International",2
517,2,LEX,106.0,670.0,0.1582089552238806,"Lexington, KY: Blue Grass",2
518,2,LFT,57.0,342.0,0.16666666666666666,"Lafayette, LA: Lafayette Regional Paul Fournet Field",2
519,2,LGA,2484.0,12726.0,0.19519094766619519,"New York, NY: LaGuardia",2
520,2,LGB,305.0,1387.0,0.2198990627253064,"Long Beach, CA: Long Beach Airport",2
521,2,LIH,131.0,1029.0,0.12730806608357628,"Lihue, HI: Lihue Airport",2
522,2,LIT,153.0,911.0,0.16794731064763996,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",2
523,2,LNK,24.0,138.0,0.17391304347826086,"Lincoln, NE: Lincoln Airport",2
524,2,LRD,32.0,193.0,0.16580310880829016,"Laredo, TX: Laredo International",2
525,2,LSE,26.0,151.0,0.17218543046357615,"La Crosse, WI: La Crosse Regional",2
526,2,LWS,5.0,44.0,0.11363636363636363,"Lewiston, ID: Lewiston Nez Perce County",2
527,2,LYH,11.0,56.0,0.19642857142857142,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",2
528,2,MAF,136.0,681.0,0.19970631424375918,"Midland/Odessa, TX: Midland International Air and Space Port",2
